Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
10.28.40.395485,-115.8945,-10.06611,166.916,0.1092712,90.0004,359.9897
10.28.40.400471,-115.8945,-10.06611,166.916,0.1092712,90.0004,359.9897
10.28.40.412440,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
10.28.40.422412,-115.8941,-10.06688,166.9162,0.1262864,89.99983,-0.000975672
10.28.40.422412,-115.8941,-10.06688,166.9162,0.1262864,89.99983,-0.000975672
10.28.40.433383,-115.8937,-10.06749,166.9165,0.1443842,89.99928,0.0081188
10.28.40.443388,-115.8938,-10.0673,166.9164,0.1380077,89.99947,0.005059003
10.28.40.454330,-115.8935,-10.06761,166.9165,0.1520659,89.99905,0.01136767
10.28.40.463334,-115.8936,-10.06754,166.9165,0.1472793,89.9992,0.009343282
10.28.40.474273,-115.8934,-10.06759,166.9166,0.1574945,89.99892,0.01297453
10.28.40.484764,-115.8935,-10.0676,166.9166,0.1542839,89.99899,0.01202419
10.28.40.495698,-115.8934,-10.06744,166.9166,0.160664,89.99887,0.01315075
10.28.40.513686,-115.8934,-10.06751,166.9166,0.1590348,89.99889,0.01306018
10.28.40.524625,-115.8934,-10.06718,166.9166,0.1616843,89.99889,0.01206776
10.28.40.533596,-115.8934,-10.0672,166.9166,0.1615899,89.99889,0.01216798
10.28.40.533596,-115.8934,-10.0672,166.9166,0.1615899,89.99889,0.01216798
10.28.40.553575,-115.8935,-10.06686,166.9166,0.1608441,89.99895,0.01029074
10.28.40.553575,-115.8935,-10.06686,166.9166,0.1608441,89.99895,0.01029074
10.28.40.575511,-115.8936,-10.06645,166.9165,0.1582424,89.9991,0.007548048
10.28.40.576523,-115.8936,-10.06645,166.9165,0.1582424,89.9991,0.007548048
10.28.40.595650,-115.8937,-10.06602,166.9164,0.1543105,89.99928,0.004572054
10.28.40.596613,-115.8937,-10.06602,166.9164,0.1543105,89.99928,0.004572054
10.28.40.607582,-115.8939,-10.06516,166.9163,0.1438814,89.99966,-0.0009319768
10.28.40.617586,-115.8938,-10.06557,166.9164,0.1492103,89.99948,0.0015678
10.28.40.617586,-115.8938,-10.06557,166.9164,0.1492103,89.99948,0.0015678
10.28.40.629529,-115.8941,-10.06477,166.9163,0.1380833,89.99981,-0.002959061
10.28.40.639504,-115.8939,-10.06511,166.9163,0.143003,89.99967,-0.001239103
10.28.40.651465,-115.8942,-10.06443,166.9162,0.1323058,89.99992,-0.004430811
10.28.40.661439,-115.8941,-10.06469,166.9163,0.1367396,89.99983,-0.003301379
10.28.40.672411,-115.8943,-10.06413,166.9162,0.1268386,89.99999,-0.005259065
10.28.40.682915,-115.8942,-10.06433,166.9162,0.1306044,89.99995,-0.004688556
10.28.40.693869,-115.8944,-10.0639,166.9162,0.1219014,90.00001,-0.005662372
10.28.40.702844,-115.8943,-10.06404,166.9162,0.1249617,90,-0.005412383
10.28.40.714811,-115.8945,-10.06372,166.9162,0.1176579,89.99999,-0.005452964
10.28.40.731799,-115.8944,-10.06382,166.9162,0.1201195,90,-0.00557444
10.28.40.756699,-115.8946,-10.0636,166.9162,0.1142251,89.99997,-0.004868637
10.28.40.757706,-115.8946,-10.06355,166.9162,0.1116714,89.99992,-0.003882303
10.28.40.764677,-115.8946,-10.06358,166.9162,0.1129066,89.99994,-0.004359417
10.28.40.764677,-115.8946,-10.06358,166.9162,0.1129066,89.99994,-0.004359417
10.28.40.776648,-115.8946,-10.06355,166.9163,0.1099948,89.99982,-0.002658715
10.28.40.785671,-115.8946,-10.06355,166.9162,0.1108288,89.99986,-0.003267431
10.28.40.786648,-115.8946,-10.06355,166.9162,0.1108288,89.99986,-0.003267431
10.28.40.809578,-115.8946,-10.06357,166.9163,0.109513,89.99976,-0.001871082
10.28.40.809578,-115.8946,-10.06357,166.9163,0.109513,89.99976,-0.001871082
10.28.40.829507,-115.8946,-10.06364,166.9163,0.1091444,89.99965,-0.0005949645
10.28.40.829507,-115.8946,-10.06364,166.9163,0.1091444,89.99965,-0.0005949645
10.28.40.849451,-115.8946,-10.06392,166.9163,0.1109752,89.99957,0.001237324
10.28.40.856464,-115.8946,-10.06381,166.9163,0.1099281,89.99957,0.000693002
10.28.40.856464,-115.8946,-10.06381,166.9163,0.1099281,89.99957,0.000693002

