Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
02.10.31.986211,7,3,8,0,0,0
02.10.32.018396,-116.7172,-9.17389,167.04,4.845824E-06,90,1.615091E-08
02.10.32.645358,-116.7171,-9.811578,167.04,0.01610016,90.00002,-4.786719E-05
02.10.32.670545,-116.7161,-9.939528,167.04,0.1219487,90,-0.0001218298
02.10.32.686398,-116.7158,-9.973887,167.04,0.1653375,90.00007,1.640186E-05
02.10.32.701851,-116.7155,-9.99074,167.0397,0.2165745,89.99799,359.9799
02.10.32.719331,-116.7152,-9.994286,167.039,0.2936884,89.99316,359.9305
02.10.32.735796,-116.7146,-9.987803,167.0377,0.3676565,89.98945,359.8736
02.10.32.752691,-116.7139,-9.975195,167.0363,0.4160048,89.98961,359.8246
02.10.32.769697,-116.7131,-9.961797,167.035,0.4388983,89.99284,359.7894
02.10.32.786515,-116.7123,-9.949754,167.0341,0.4411999,89.99786,359.7696
02.10.32.803450,-116.7117,-9.940127,167.0337,0.4279217,90.00346,359.7662
02.10.32.821399,-116.7112,-9.933691,167.0338,0.4057091,90.00829,359.7784
02.10.32.837781,-116.711,-9.929689,167.0345,0.373082,90.01167,359.8145
02.10.32.854051,-116.711,-9.928511,167.0355,0.3483192,90.01206,359.8536
02.10.32.870971,-116.7112,-9.92833,167.0366,0.3270691,90.01048,359.8979
02.10.32.887642,-116.7116,-9.928179,167.0377,0.3089133,90.00753,359.9427
02.10.32.904608,-116.7121,-9.927569,167.0388,0.2920673,90.00417,359.9847
02.10.32.921365,-116.7126,-9.926357,167.0397,0.2752766,90.0008,0.021456
02.10.32.938906,-116.7132,-9.92455,167.0404,0.2574431,89.99793,0.05165887
02.10.32.956427,-116.7138,-9.922274,167.041,0.2377874,89.99577,0.07443106
02.10.32.978367,-116.7144,-9.919733,167.0414,0.2156381,89.99442,0.0889494
02.10.32.995208,-116.715,-9.917272,167.0416,0.1911026,89.9939,0.09500959
02.10.33.012501,-116.7157,-9.91496,167.0416,0.1631815,89.99396,0.09437412
02.10.33.028516,-116.7163,-9.913322,167.0414,0.1369514,89.99447,0.08767778
02.10.33.045450,-116.7168,-9.912306,167.0412,0.1130886,89.99524,0.07710776
02.10.33.063578,-116.7172,-9.911814,167.0409,0.09110814,89.99615,0.06350145
02.10.33.080385,-116.7177,-9.91181,167.0406,0.07207605,89.99709,0.04818178
02.10.33.098317,-116.718,-9.912254,167.0402,0.05643053,89.99805,0.03183211
02.10.33.114693,-116.7182,-9.913059,167.0398,0.04485043,89.99894,0.01548518
02.10.33.131638,-116.7184,-9.914008,167.0395,0.03778337,89.99973,0.001355488
02.10.33.148071,-116.7185,-9.915053,167.0392,0.03425447,90.00037,359.9891
02.10.33.164651,-116.7185,-9.916138,167.0389,0.03400968,90.00093,359.979
02.10.33.181345,-116.7183,-9.917703,167.0387,0.0392573,90.00151,359.9691
02.10.33.200507,-116.7181,-9.918702,167.0386,0.04582753,90.00173,359.9655
02.10.33.217457,-116.7179,-9.919623,167.0385,0.05422507,90.00184,359.9644
02.10.33.234935,-116.7176,-9.920463,167.0385,0.06409156,90.00182,359.9654
02.10.33.250789,-116.7173,-9.921196,167.0386,0.07507929,90.00163,359.9686
02.10.33.267298,-116.7169,-9.92205,167.0387,0.09084624,90.00128,359.9749
02.10.33.284461,-116.7165,-9.922542,167.0388,0.102387,90.00095,359.9807
02.10.33.301584,-116.7159,-9.922995,167.039,0.1079136,90.00039,359.989
02.10.33.318941,-116.7151,-9.923122,167.0392,0.1039471,89.99994,-0.005285794
02.10.33.336466,-116.7139,-9.923075,167.0393,0.09083797,90.00561,0.000202458
02.10.33.352894,-116.7122,-9.922871,167.0393,0.06979585,90.01059,0.004720086
02.10.33.369841,-116.7099,-9.922509,167.0394,0.04010687,90.01572,0.008325377
